,omic1_tissue2_A2_f0,omic1_tissue2_A2_f1,omic1_tissue2_A2_f2,omic1_tissue2_A2_f3,omic1_tissue2_A2_f4,omic1_tissue2_A2_f5,omic1_tissue2_A2_f6,omic1_tissue2_A2_f7,omic1_tissue2_A2_f8,omic1_tissue2_A2_f9,omic1_tissue2_A2_f10,omic1_tissue2_A2_f11
omic1_tissue1_A1_f0,-0.0,0.0,-0.15626703785410523,-0.0,0.0,-0.0,-0.05995859055324529,0.0,0.0,0.0,-0.01827292796192892,-0.0
omic1_tissue1_A1_f1,-0.0,-0.0,-0.0,0.0,0.20334136626841925,0.0,-0.0,0.0,0.12918051906247568,-0.0,0.0,0.0
omic1_tissue1_A1_f2,0.0,-0.018620870021552285,-0.16129367566431052,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.02196629751539428,-0.0
omic1_tissue1_A1_f3,-0.0,-0.0,0.0,-0.0,0.0,-0.19631490265250917,-0.17611474488943962,-0.05629172345998083,-0.0,0.12297326456209988,-0.0,0.04810368049811496
omic1_tissue1_A1_f4,0.011603518069130056,0.0,-0.0,0.0,-0.0952991953975497,0.0,0.18491045407313755,0.0,0.0,-0.0,-0.0,-0.0
omic1_tissue1_A1_f5,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.043528618101669206,0.0,-0.0,-0.0
omic1_tissue1_A1_f6,-0.0,0.0,0.0,-0.0,0.0,-0.05145347594448095,-0.0,-0.0,-0.0,0.0,-0.0,0.020661238774787913
omic1_tissue1_A1_f7,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.08464487373930714,0.0,-0.0,-0.01877416745234875,0.0,0.0
omic1_tissue1_A1_f8,0.0,-0.0,0.0,-0.0,0.0,0.27255755236214696,0.0,0.0,0.0,-0.0,0.0,-0.0
omic1_tissue1_A1_f9,-0.0,0.0,-0.06754325250018933,0.0,0.0,0.0,-0.03377232922087012,0.0,0.0,0.0,-0.0,0.0
omic1_tissue1_A1_f10,0.0,0.0,0.0,0.0,0.0874961876023652,-0.0,-0.12905486818101747,0.0,-0.0,-0.026868689396993314,0.0,-0.0
omic1_tissue1_A1_f11,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.04100550274223362,0.0462967957569239,-0.0
